Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19
2019/10/21 5:24:00 PM EST,Graduate program,24,Business related majors,Yes,Female,I already have investments,Fund;Insurance,Rates of return,"Friends recommend;Bank recommend(Text messages, phone calls, etc)",No,No,3,Yes,Webinar,Partially,No,$1000 - $ 2000,$500 - $1000,<5%
2019/10/21 5:25:00 PM EST,Graduate program,25,STEM majors,Yes,Male,No,Insurance;Saving account,Rates of return;Easy entrance;Easy management,"Social media/Youtube;Friends recommend;Online advertisements;Bank recommend(Text messages, phone calls, etc)",Yes,Yes,2,Yes,Webinar;Investment mobile app;Youtube tutorials,Yes,Yes,< $500,< $500,15% - 20%
2019/10/21 5:25:05 PM EST,Graduate program,23,STEM majors,Yes,Female,Yes,Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,Social media/Youtube,Yes,Yes,4,Yes,Seminar;Investment mobile app,No,No,$500 - $1000,$500 - $1000,<5%
2019/10/21 5:29:30 PM EST,Graduate program,23,STEM majors,Yes,Female,Maybe,Insurance;Saving account,Rates of return;Easy entrance;Easy management,"Friends recommend;Bank recommend(Text messages, phone calls, etc);Parents/family members",Yes,Not Sure,2,Yes,Youtube tutorials;Social media influencers,No,No,< $500,$1000 - $2000,5% - 10%
2019/10/21 6:12:17 PM EST,Senior,21,"Literature, language and social science majors",Yes,Female,No,Not interested at all,Easy management,"Newspaper/magazine;Bank recommend(Text messages, phone calls, etc)",Yes,Yes,1,Yes,Webinar;Youtube tutorials,Yes,No,$500 - $1000,< $500,5% - 10%
2019/10/21 6:21:21 PM EST,Graduate program,23,Business related majors,Yes,Female,Maybe,Saving account,Rates of return;Risk manageable;Easy entrance;Easy management,"Bank recommend(Text messages, phone calls, etc);Parents/family members",No,Not Sure,3,Yes,Webinar;Investment mobile app;Youtube tutorials,Yes,No,< $500,$1000 - $2000,5% - 10%
2019/10/21 6:30:22 PM EST,Senior,23,STEM majors,Yes,Female,No,Stock,Rates of return,Online advertisements,No,Yes,3,Yes,Youtube tutorials,No,No,< $500,$500 - $1000,10% - 15%
2019/10/21 6:48:55 PM EST,Graduate program,23,STEM majors,Yes,Male,Yes,Stock;Saving account;Others,Rates of return;Risk manageable,Newspaper/magazine;Social media/Youtube,Maybe,No,3,Yes,Investment mobile app;Youtube tutorials,Partially,No,$1000 - $ 2000,$1000 - $2000,10% - 15%
2019/10/22 10:13:38 AM EST,Graduate program,24,STEM majors,Yes,Female,Yes,Stock;Fund;Saving account,Rates of return;Risk manageable;Easy entrance,TV;Parents/family members,Yes,No,1,Yes,Seminar;Investment mobile app;Youtube tutorials,Yes,No,< $500,$500 - $1000,<5%
2019/10/22 11:16:41 AM EST,Graduate program,21,Business related majors,Yes,Male,Maybe,Stock;Saving account,Rates of return;Risk manageable,Parents/family members,Maybe,No,2,Yes,Webinar,Yes,No,$1000 - $ 2000,$1000 - $2000,<5%
2019/10/22 11:58:09 AM EST,Graduate program,23,Business related majors,Yes,Female,Yes,Stock;Fund;Bond;Insurance,Rates of return;Risk manageable,Social media/Youtube,Yes,Yes,3,Yes,Investment mobile app;Youtube tutorials;Social media influencers,Yes,No,< $500,$1000 - $2000,5% - 10%
